Date, Instance, Algorithm, MAX_ITER_COUNT, MAX_NO_IMPROVE_COUNT, RandSeed, Duration, IterCount, MoveCount, TotalDist, Medians, Assignment
2014-04-15 Tue 15:55:33, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabu(B=31), 200, 1984, 1397548528, 0, 1, 2, 1126.39, 7|35|43|24|25|, 43|7|43|24|25|24|24|7|7|24|43|7|43|43|35|35|24|35|25|7|43|25|43|7|24|25|24|7|35|24|25|43|35|25|7|35|24|24|35|7|43|43|24|43|24|43|25|25|24|35|
2014-04-15 Tue 15:55:43, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabu(B=31), 400, 1984, 1397548528, 0, 1, 4, 1112.93, 8|0|14|29|34|, 0|34|29|8|14|29|29|8|8|29|29|34|29|0|14|14|29|0|14|8|0|14|29|8|29|14|14|8|14|29|14|0|0|0|34|0|8|29|14|8|0|0|34|0|29|29|14|14|29|0|
2014-04-15 Tue 16:02:46, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabu(B=31), 200, 992, 1397548964, 0, 1, 2, 1032.7, 31|16|6|19|46|, 31|19|16|46|46|16|6|19|19|16|16|19|16|31|31|46|16|31|46|19|31|46|16|46|6|46|46|16|31|16|46|31|31|46|19|31|19|16|31|19|31|16|19|31|16|31|46|46|16|31|
2014-04-15 Tue 16:02:51, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabu(B=31), 400, 992, 1397548964, 0, 1, 11, 1434.26, 49|14|3|13|15|, 49|14|13|3|15|3|13|3|3|14|13|3|14|13|14|15|14|14|15|3|49|15|13|14|3|15|3|3|14|49|3|13|15|15|15|49|3|14|14|3|13|13|3|49|13|13|3|15|14|49|
2014-04-15 Tue 16:55:24, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1397552120, 0.001, 1, 6, 1159.51, 37|6|3|13|19|, 13|19|13|3|3|37|6|19|19|37|37|19|37|13|13|3|37|13|3|19|13|3|6|3|37|3|3|3|37|37|3|13|13|13|19|13|3|37|13|19|13|37|19|13|37|13|3|3|37|13|
2014-04-15 Tue 17:04:39, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1397552676, 0, 1, 3, 1038.39, 3|44|28|22|20|, 20|3|22|3|28|3|44|3|3|44|22|3|44|20|20|20|44|20|28|3|20|28|22|3|44|28|3|3|28|44|28|20|28|28|44|20|28|44|20|3|20|22|44|20|44|22|3|28|44|20|
2014-04-15 Tue 17:07:37, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1397552853, 0, 1, 2, 1494.37, 31|18|40|38|44|, 31|18|44|18|18|18|44|18|38|44|44|31|44|40|38|38|44|38|18|18|38|18|44|38|44|38|38|18|38|44|38|31|31|31|44|31|31|44|38|18|40|31|31|31|44|31|18|38|31|31|
2014-04-15 Tue 17:07:46, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1397552862, 0.001, 1, 6, 1246.68, 10|0|46|21|45|, 0|46|10|46|21|10|10|46|46|10|10|46|10|0|0|21|10|0|21|46|0|21|45|46|10|21|21|46|21|10|46|0|0|21|10|0|21|10|0|46|0|45|21|0|10|45|46|21|10|0|
2014-04-15 Tue 17:09:05, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1397552942, 0.001, 1, 3, 1067.31, 21|4|38|3|37|, 38|3|37|3|4|3|37|3|3|37|38|3|37|38|38|21|37|38|4|3|38|21|37|4|37|21|3|4|4|37|4|38|21|21|3|38|3|37|38|4|38|37|3|38|37|38|21|21|37|38|
2014-04-15 Tue 17:09:19, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1397552956, 0.001, 1, 1, 883.343, 17|42|19|10|4|, 17|42|10|4|4|42|10|19|19|10|10|42|10|17|17|17|10|17|4|19|17|4|10|4|42|4|4|4|4|42|4|17|17|17|42|17|19|10|17|19|17|10|42|17|10|10|4|4|10|17|
