Date, Instance, Algorithm, MAX_ITER_COUNT, MAX_NO_IMPROVE_COUNT, RandSeed, Duration, IterCount, MoveCount, TotalDist, Medians, Assignment
2014-04-25 Fri 22:21:02, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ba=31|Br=2|D=23), 1600, 992, 1398435617, 1.823, 65, 110850, 763, 1|23|9|47|0|, 0|1|9|23|23|1|9|1|1|9|9|1|9|0|0|47|9|0|23|1|0|47|9|23|9|47|23|23|23|9|23|0|47|47|1|0|23|9|0|1|0|0|1|0|9|9|23|47|9|0|
2014-04-25 Fri 22:21:54, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31|D=23), 1600, 992, 1398435662, 0.678, 24, 38174, 920, 40|7|10|32|4|, 40|7|10|4|4|7|10|7|7|10|10|7|10|40|32|32|10|32|4|7|40|4|10|4|7|32|4|4|4|10|4|40|32|32|7|32|4|10|32|7|40|10|7|40|10|10|4|32|4|40|
2014-04-25 Fri 22:22:37, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ba=31|Br=2|D=23), 1600, 992, 1398435714, 3.124, 115, 200829, 822, 44|8|14|2|18|, 14|8|2|18|18|8|44|8|8|44|2|8|2|2|14|14|44|14|18|8|14|18|44|18|44|18|18|18|14|44|18|2|14|14|8|14|18|44|14|8|2|2|8|14|44|2|18|18|44|14|
2014-04-25 Fri 22:23:21, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31|D=23), 1600, 992, 1398435757, 0.543, 21, 32597, 838, 41|3|35|37|34|, 35|34|41|3|3|3|37|34|34|37|41|34|41|41|35|35|37|35|3|34|35|3|41|3|37|35|3|3|3|37|3|35|35|35|34|35|3|37|35|34|41|41|34|35|37|41|3|3|37|35|
2014-04-25 Fri 22:24:04, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ba=31|Br=2|D=23), 1600, 992, 1398435801, 1.83, 67, 114964, 843, 39|45|29|30|38|, 38|39|45|30|30|29|29|39|39|29|45|39|45|45|38|38|29|38|30|39|38|30|45|30|29|30|39|30|38|29|30|38|38|30|39|38|39|29|38|39|38|45|39|38|29|45|30|30|29|38|
2014-04-25 Fri 22:24:48, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31|D=23), 1600, 992, 1398435844, 0.809, 26, 40795, 910, 46|43|7|24|22|, 43|7|22|46|46|24|22|7|7|22|22|7|22|43|43|43|22|43|46|7|43|46|22|46|24|46|46|46|43|24|46|43|43|46|7|43|7|24|43|7|43|22|24|43|22|22|46|46|24|43|
2014-04-25 Fri 22:25:32, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ba=31|Br=2|D=23), 1600, 992, 1398435888, 0.168, 9, 10019, 770, 34|44|47|3|20|, 20|34|44|3|47|3|44|34|34|44|44|34|44|20|20|47|44|20|3|34|20|47|44|3|34|47|3|3|3|44|3|20|47|47|34|20|3|44|20|3|20|44|34|20|44|44|3|47|3|20|
2014-04-25 Fri 22:26:20, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31|D=23), 1600, 992, 1398435932, 0.155, 8, 8394, 844, 11|30|40|25|9|, 40|11|9|30|30|11|9|11|11|9|9|11|9|40|40|25|9|40|30|11|40|30|9|30|9|25|30|30|30|9|30|40|25|25|11|40|30|9|40|11|40|40|11|40|9|9|30|25|9|40|
2014-04-25 Fri 22:27:04, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ba=31|Br=2|D=23), 1600, 992, 1398435980, 0.343, 15, 21858, 784, 44|34|36|4|43|, 43|34|44|36|4|36|44|34|34|44|43|34|44|43|43|4|44|43|4|34|43|4|44|36|34|4|36|36|4|44|4|43|4|4|34|43|36|44|43|36|43|44|34|43|44|44|4|4|44|43|
2014-04-25 Fri 22:27:53, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31|D=23), 1600, 992, 1398436024, 0.225, 9, 12723, 926, 40|44|14|28|42|, 40|42|44|28|28|42|44|42|42|44|44|42|44|40|14|14|44|14|28|42|14|28|44|28|42|14|28|28|28|44|28|40|14|14|42|14|28|44|14|42|40|44|42|40|44|44|28|14|28|40|
2014-04-25 Fri 22:28:37, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ba=31|Br=2|D=23), 1600, 992, 1398436073, 0.196, 8, 11628, 804, 22|29|34|18|35|, 35|34|22|18|18|29|29|34|34|29|22|34|22|35|35|35|29|35|18|34|35|18|22|18|29|18|18|18|18|29|18|35|35|35|34|35|34|29|35|34|35|22|34|35|22|22|18|18|29|35|
2014-04-25 Fri 22:29:24, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31|D=23), 1600, 992, 1398436117, 3.295, 110, 177375, 884, 15|1|44|28|40|, 40|1|44|28|28|1|44|1|1|44|40|1|44|40|15|15|44|15|28|1|40|28|44|28|1|15|28|28|28|44|28|40|15|15|1|15|28|44|28|1|40|44|1|40|44|44|28|15|44|40|
