Date, Instance, Algorithm, MAX_ITER_COUNT, MAX_NO_IMPROVE_COUNT, RandSeed, Duration, IterCount, MoveCount, TotalDist, Medians, Assignment
2014-04-23 Wed 20:15:47, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1398255342, 4.609, 186, 326452, 777.506, 37|2|21|11|35|, 35|11|2|21|21|11|37|11|11|37|2|11|2|2|35|35|37|35|21|11|35|21|2|21|37|21|21|21|35|37|21|35|35|21|11|35|11|37|35|11|2|2|11|35|37|2|21|21|37|35|
2014-04-23 Wed 20:15:52, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1398255347, 4.261, 161, 274975, 783.232, 11|44|18|35|25|, 35|11|44|18|18|11|44|11|11|44|44|11|44|35|35|35|44|35|18|11|35|18|44|18|11|25|18|18|18|44|18|35|35|25|11|35|18|44|35|11|35|44|11|35|44|44|18|25|18|35|
2014-04-23 Wed 20:15:58, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1398255352, 0.677, 27, 46951, 756.888, 37|18|2|11|17|, 17|11|2|18|18|11|37|11|11|37|2|11|2|2|17|17|37|17|18|11|17|18|2|18|37|18|18|18|17|37|18|17|17|17|11|17|18|37|17|11|2|2|11|17|37|2|18|18|37|17|
2014-04-23 Wed 20:16:03, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1398255358, 2.788, 115, 201965, 760.051, 4|17|2|11|37|, 17|11|2|4|4|11|37|11|11|37|2|11|2|2|17|17|37|17|4|11|17|4|2|4|37|4|4|4|17|37|4|17|17|4|11|17|11|37|17|11|17|2|11|17|37|2|4|4|37|17|
2014-04-23 Wed 20:16:08, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1398255363, 1.358, 53, 92266, 764.584, 11|2|9|4|17|, 17|11|2|4|4|11|9|11|11|9|2|11|2|2|17|17|9|17|4|11|17|4|2|4|9|4|4|4|17|9|4|17|17|4|11|17|11|9|17|11|17|2|11|17|9|2|4|4|9|17|
2014-04-23 Wed 20:16:13, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1398255368, 0.296, 15, 25036, 729.115, 20|11|18|9|47|, 20|11|9|18|18|11|9|11|11|9|20|11|9|20|20|47|9|20|18|11|20|18|9|18|11|47|18|18|18|9|18|20|47|47|11|20|18|9|20|11|20|9|11|20|9|9|18|47|9|20|
2014-04-23 Wed 20:16:18, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1398255373, 3.969, 172, 286821, 783.799, 16|35|18|11|25|, 35|11|16|18|18|11|16|11|11|16|35|11|16|35|35|35|16|35|18|11|35|18|16|18|11|25|18|18|18|16|18|35|35|25|11|35|18|16|35|11|35|16|11|35|16|16|18|25|16|35|
2014-04-23 Wed 20:16:24, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1398255378, 4.096, 156, 274305, 771.178, 41|18|11|35|16|, 35|11|41|18|18|11|16|11|11|16|41|11|16|35|35|35|16|35|18|11|35|18|41|18|16|18|18|18|18|16|18|35|35|35|11|35|11|16|35|11|35|41|11|35|16|41|18|18|16|35|
2014-04-23 Wed 20:16:28, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1398255384, 4.22, 184, 288516, 728.244, 20|18|47|16|11|, 20|11|16|18|18|11|16|11|11|16|20|11|16|20|20|47|16|20|18|11|20|18|16|18|11|47|18|18|18|16|18|20|47|47|11|20|18|16|20|11|20|16|11|20|16|16|18|47|16|20|
2014-04-23 Wed 20:16:33, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1398255388, 4.928, 196, 340893, 751.272, 11|37|20|18|2|, 20|11|2|18|18|11|37|11|11|37|2|11|2|20|20|20|37|20|18|11|20|18|2|18|37|18|18|18|18|37|18|20|20|20|11|20|11|37|20|11|20|2|11|20|37|2|18|18|37|20|
