Date, Instance, Algorithm, MAX_ITER_COUNT, MAX_NO_IMPROVE_COUNT, RandSeed, Duration, IterCount, TotalDist, Medians, Assignment
2014-04-10 Thu 17:04:07, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabu(B=200), 100, 1000, 1397120415, 0.017, 1, 1088.49, 44|35|15|7|40|, 35|7|44|35|15|7|44|7|7|44|44|7|44|40|35|15|44|35|15|7|35|15|44|15|44|15|35|15|35|44|15|40|15|15|7|35|7|44|35|7|40|40|7|35|44|44|15|15|44|35|
2014-04-10 Thu 17:12:35, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabu(B=200), 200, 1000, 1397120415, 0.013, 1, 1086.22, 21|8|37|2|12|, 2|8|2|37|21|37|37|8|8|37|2|8|12|2|12|21|37|12|21|8|12|21|2|21|37|21|21|8|12|37|21|2|21|21|8|12|37|37|12|8|2|2|8|2|37|2|21|21|37|2|
2014-04-10 Thu 17:19:51, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabu(B=200), 100, 1000, 1397121589, 0.001, 1, 1606.7, 28|34|33|21|8|, 21|8|28|21|21|34|34|8|8|28|28|34|28|21|21|33|34|28|21|8|28|21|28|21|34|33|21|21|28|34|21|28|33|33|34|33|8|34|28|8|21|28|34|28|34|28|21|33|28|28|
2014-04-10 Thu 17:19:55, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabu(B=200), 200, 1000, 1397121589, 0, 1, 1406.47, 37|10|39|9|34|, 10|34|10|39|39|39|37|34|34|9|10|34|10|10|9|9|9|10|39|34|10|39|10|39|37|9|39|39|9|37|39|10|9|9|34|10|39|37|10|39|10|10|34|10|9|10|39|39|9|10|
2014-04-10 Thu 17:20:01, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabu(B=200), 100, 1000, 1397121599, 0, 1, 1056.94, 11|14|34|10|32|, 14|11|10|11|32|11|10|34|34|10|10|11|10|10|14|32|10|14|14|34|14|32|10|11|11|32|11|11|14|34|32|10|32|32|34|14|11|10|14|11|10|10|11|14|10|10|32|32|14|14|
2014-04-10 Thu 17:20:03, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabu(B=200), 200, 1000, 1397121599, 0, 1, 1143.16, 14|17|8|44|6|, 17|8|44|17|14|8|6|8|8|44|44|8|44|17|14|14|44|17|14|8|17|14|44|14|6|17|14|8|14|44|14|17|14|17|8|17|8|44|17|8|17|44|6|17|44|44|14|14|44|17|
2014-04-10 Thu 17:20:46, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabu(B=200), 100, 1000, 1397121645, 0.001, 1, 1153.63, 11|21|36|0|19|, 0|11|0|36|21|11|11|19|19|36|0|11|0|0|21|21|36|0|36|19|0|21|0|36|11|21|36|36|21|11|21|0|21|21|11|0|36|36|0|11|0|0|11|0|36|0|21|21|36|0|
2014-04-10 Thu 17:20:48, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabu(B=200), 200, 1000, 1397121645, 0.001, 1, 1372.31, 1|31|22|2|37|, 31|1|2|37|2|1|22|1|1|37|2|1|2|31|2|31|37|31|37|1|31|2|22|1|37|31|1|37|2|37|1|31|31|31|1|31|37|37|31|1|31|2|37|31|22|2|1|31|37|31|
2014-04-10 Thu 17:34:59, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabu(B=1000), 100, 4000, 1397122494, 0.001, 1, 1271.35, 33|46|34|0|18|, 0|34|0|18|46|34|34|34|34|18|0|34|0|0|33|33|18|0|18|34|0|18|0|46|34|33|18|46|18|18|46|0|33|33|34|0|18|34|0|46|0|0|34|0|18|0|46|33|18|0|
2014-04-10 Thu 17:35:08, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabu(B=1000), 200, 4000, 1397122494, 0, 0, 839.757, 29|42|21|10|17|, 17|42|10|21|21|42|29|42|42|29|10|42|10|17|17|17|29|17|21|42|17|21|10|21|29|21|21|21|21|29|21|17|17|17|42|17|42|29|17|42|17|10|42|17|29|10|21|21|29|17|
