Date, Instance, Algorithm, MAX_ITER_COUNT, MAX_NO_IMPROVE_COUNT, RandSeed, Duration, IterCount, MoveCount, TotalDist, Medians, Assignment
2014-04-17 Thu 10:17:45, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1397701059, 2.376, 81, 138554, 813.944, 4|33|16|1|17|, 17|1|16|4|4|1|16|1|1|16|16|1|16|17|17|17|16|17|4|1|17|4|16|4|16|33|4|4|4|16|4|17|33|33|1|17|1|16|17|1|17|17|1|17|16|16|4|33|16|17|
2014-04-17 Thu 10:17:48, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1397701059, 0.776, 119, 45227, 826.111, 8|27|9|40|15|, 40|8|9|27|27|9|9|8|8|9|9|8|9|40|15|15|9|15|27|8|40|27|9|27|9|15|27|27|15|9|27|40|15|15|8|15|27|9|15|8|40|40|8|40|9|40|27|15|9|40|
2014-04-17 Thu 10:37:12, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1397702226, 2.991, 109, 181662, 884.406, 49|37|3|15|42|, 49|42|37|3|3|42|37|42|42|37|49|42|37|49|15|15|37|49|3|42|49|3|37|3|42|15|3|3|15|37|3|49|15|15|42|49|3|37|49|3|49|37|42|49|37|37|3|15|37|49|
2014-04-17 Thu 10:37:18, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1397702226, 0.371, 14, 22616, 833.01, 37|47|3|20|42|, 20|42|37|3|47|42|37|42|42|37|20|42|37|20|20|47|37|20|3|42|20|47|37|3|42|47|3|3|3|37|3|20|47|47|42|20|3|37|20|3|20|37|42|20|37|37|3|47|37|20|
2014-04-17 Thu 10:37:24, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1397702226, 4.707, 165, 292939, 818.065, 29|18|34|41|49|, 49|34|41|18|18|29|29|34|34|29|41|34|41|49|49|49|29|49|18|34|49|18|41|18|29|18|18|18|18|29|18|49|49|49|34|49|34|29|49|34|49|41|34|49|29|41|18|18|29|49|
2014-04-17 Thu 10:37:30, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1397702226, 1.562, 51, 87474, 873.692, 30|8|12|35|40|, 35|8|12|30|30|8|12|8|8|12|12|8|12|40|35|35|12|35|30|8|35|30|12|30|12|30|30|30|35|12|30|40|35|35|8|35|30|12|35|8|40|40|8|35|12|12|30|30|12|35|
2014-04-17 Thu 10:37:36, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1397702226, 3.458, 120, 212594, 824.02, 49|23|21|37|11|, 49|11|37|23|21|11|37|11|11|37|37|11|37|49|49|21|37|49|21|11|49|21|37|23|37|21|23|23|21|37|23|49|21|21|11|49|23|37|49|11|49|49|11|49|37|37|21|21|37|49|
2014-04-17 Thu 10:37:41, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1397702226, 3.307, 107, 186724, 827.894, 17|2|46|19|16|, 17|19|2|46|46|16|16|19|19|16|2|19|2|2|17|17|16|17|46|19|17|46|2|46|16|46|46|46|17|16|46|17|17|46|19|17|19|16|17|19|17|2|19|17|16|2|46|46|16|17|
2014-04-17 Thu 10:37:47, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1397702226, 4.017, 137, 233071, 811.058, 8|17|16|25|27|, 17|8|16|27|27|16|16|8|8|16|16|8|16|17|17|17|16|17|27|8|17|27|16|27|16|25|27|27|27|16|27|17|25|25|8|17|27|16|17|8|17|17|8|17|16|16|27|25|16|17|
2014-04-17 Thu 10:37:53, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(B=31), 200, 992, 1397702226, 5.031, 177, 306289, 817.496, 1|49|46|9|2|, 49|1|2|46|46|1|9|1|1|9|2|1|2|49|49|49|9|49|46|1|49|46|2|46|9|46|46|46|49|9|46|49|49|46|1|49|1|9|49|1|49|2|1|49|9|2|46|46|9|49|
